run,seed,straight_mean_error,straight_final_error,curved_mean_error,curved_final_error,fim_mean_error,fim_final_error
0,0,3.5321045731165674,1.1481934861074692,3.5979649630021155,0.3404456637909011,1.1076518548682128,0.13229539520375855
1,1,1.7497891529841079,0.47616819978831104,1.8196677722650532,0.4075633576397591,1.6766020150979026,0.0380330513247969
2,2,4.340426927523851,0.32084382392018906,4.928641990417798,0.11547791188433008,0.8037335227269621,0.06676197182911874
3,3,2.368765281272104,0.4255801054666344,2.5515692363811824,0.16834296690284575,2.6068343651349424,0.05289309661972991
4,4,1.3294057653423064,0.43976753756716547,1.4522723010086673,0.2828585758938508,0.4794057811769567,0.14248890603607584
5,5,3.3748662293016225,0.6475478133754728,3.502841525044576,0.1709424103602704,0.7201466645602733,0.044042991565528745
6,6,2.251935971531055,0.31400225328609216,3.322036905338596,0.2727990545457231,1.0039016974282566,0.04091589683040843
7,7,2.595813776881676,0.3384686837687751,2.289952696961582,0.25712340654212473,1.883354059991518,0.09912687778939634
8,8,5.390187085917001,0.4705583473076384,9.36170650202853,0.8263953423149256,2.777821475149365,0.13352567235147966
9,9,1.7062931985824574,0.8548641911490705,1.5885644842021422,0.31766710819836685,0.3617751972161706,0.10627179922758463
10,10,1.5690892438312019,0.1472659756067359,1.7506258109021566,0.31268657831093677,1.3712111375881917,0.19012829426704458
11,11,3.9438899031370016,0.6896183806733192,6.349559069293053,0.37616535454460187,2.1942370244474736,0.13302996866108366
12,12,1.9671499315494676,0.1624417071694606,2.081838129774534,0.16860850447587442,0.6890283895261372,0.1138432066226073
13,13,3.827448232788033,0.5911654711319457,4.04122305355415,0.5183751528835769,1.0338257126932515,0.039016734888719644
14,14,3.4018923969314114,0.14072386952856883,2.2050787139106705,0.11430304931996747,2.816193576791457,0.0714103666788867
15,15,1.851525691838146,0.2727190309558459,1.8113242774653755,0.07607578275267632,0.4554051579082365,0.12942377089100088
16,16,1.5595632796826575,1.1722692443335316,1.7786176516749364,0.6101244257006523,0.5959419577869973,0.10134551460210137
17,17,3.8986358980709355,0.7026704351103833,4.116125171547655,0.3404939506849096,0.9019290087268628,0.0767325623569759
18,18,2.372733389334502,0.7998937918110206,2.7551562361621666,0.5243696651023351,0.7916576729483915,0.0771769973754399
19,19,2.4657297060423913,1.242775477184367,2.5331309188965436,0.676108709341756,0.6544270477982954,0.1842696914820145
20,20,1.7529099632651373,0.15111530978580798,2.752768075073999,0.050088919039399764,2.1236427519610257,0.048743826567298275
21,21,2.26711456793733,1.1485390445009327,2.331824512635767,0.7523129009389807,0.6094051182880323,0.14903283569476505
22,22,2.6218578167727253,0.4576141558278953,2.8636825509096426,0.1354840768396192,0.573273526087764,0.1115254583157438
23,23,1.811711352481753,0.2220680466448203,1.9054645406006083,0.27756027638932057,0.5636508060820666,0.05255811443553001
24,24,3.6867413700288716,0.400950041164889,2.9737094399456314,0.2785629105827891,2.082156468328122,0.025012449523781573
25,25,3.1888793726674702,0.11789858476472546,2.77107243719564,0.1548644698419962,1.1501107909671562,0.03169828943711375
26,26,2.758707036719302,0.9631598362148973,2.975618921706619,0.44550678879583977,0.6570568626465184,0.11494648484932452
27,27,1.8072200589700496,0.5673872839011472,1.6710079855971347,0.10836017057755873,1.1058506060161444,0.03549414197815679
28,28,2.2429941145635017,0.09341154939465145,2.3172750775857374,0.17931819862475784,1.1571184548321884,0.051329572423052416
29,29,4.973216516710215,0.5509789031402605,5.5139775458393805,0.4352465269200466,1.0177534677275801,0.0833880058152251
